food_name,calories_per_100g,protein_per_100g,carbs_per_100g,fat_per_100g,vegetarian,contains_dairy,contains_nuts,contains_gluten
Rice,130,2.7,28.2,0.3,yes,no,no,no
Roti,317,10.0,62.0,3.2,yes,no,no,yes
Dal,116,9.0,20.0,0.5,yes,no,no,no
Paneer,265,18.0,12.0,21.0,yes,yes,no,no
Curd,98,3.5,12.0,4.0,yes,yes,no,no
Milk,42,3.4,5.0,1.0,yes,yes,no,no
Egg,155,13.0,1.1,11.0,no,no,no,no
Chicken,239,27.0,0.0,14.0,no,no,no,no
Fish,136,20.0,0.0,6.0,no,no,no,no
Oats,389,17.0,66.0,7.0,yes,no,no,no
Banana,89,1.1,23.0,0.3,yes,no,no,no
Apple,52,0.3,14.0,0.2,yes,no,no,no
Broccoli,34,2.8,7.0,0.4,yes,no,no,no
Spinach,23,2.9,3.6,0.4,yes,no,no,no
Potato,77,2.0,17.0,0.1,yes,no,no,no
Sweet Potato,86,1.6,20.0,0.1,yes,no,no,no
Almonds,579,21.0,22.0,50.0,yes,no,yes,no
Peanuts,567,26.0,16.0,49.0,yes,no,yes,no
Chickpeas,164,9.0,27.0,2.6,yes,no,no,no
Rajma,127,9.0,23.0,0.5,yes,no,no,no
Tofu,76,8.0,2.0,5.0,yes,no,no,no
Brown Rice,123,2.7,26.0,1.0,yes,no,no,no
Sprouts,31,3.0,6.0,0.1,yes,no,no,no
Carrot,41,0.9,10.0,0.2,yes,no,no,no
Tomato,18,0.9,3.9,0.2,yes,no,no,no
Yogurt,59,10.0,3.6,0.7,yes,yes,no,no
Quinoa,120,4.4,21.0,1.9,yes,no,no,no
Lentils,116,9.0,20.0,0.4,yes,no,no,no
Soy Milk,33,2.9,1.8,1.6,yes,no,no,no
Cheese,402,25.0,1.3,33.0,yes,yes,no,no
